                simTime,               simFrame,                     id,               playerId,               roadDist,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                   type,                subType,                  value,                  state,            readability,              occlusion,                addOnId,                minLane,                maxLane,
+9.9999997764825821e-03,                      2,                     38,                      1,+6.6892501831054688e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.9999999552965164e-02,                      3,                     38,                      1,+6.6892501831054688e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+2.9999999329447746e-02,                      4,                     38,                      1,+6.6892501831054688e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+3.9999999105930328e-02,                      5,                     38,                      1,+6.6892501831054688e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+4.9999998882412910e-02,                      6,                     38,                      1,+6.6892501831054688e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+5.9999998658895493e-02,                      7,                     38,                      1,+6.6892494201660156e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+6.9999998435378075e-02,                      8,                     38,                      1,+6.6892494201660156e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+7.9999998211860657e-02,                      9,                     38,                      1,+6.6892494201660156e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+8.9999997988343239e-02,                     10,                     38,                      1,+6.6892486572265625e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+9.9999997764825821e-02,                     11,                     38,                      1,+6.6892486572265625e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.0999999754130840e-01,                     12,                     38,                      1,+6.6892486572265625e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.1999999731779099e-01,                     13,                     38,                      1,+6.6892486572265625e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.2999999709427357e-01,                     14,                     38,                      1,+6.6892478942871094e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.3999999687075615e-01,                     15,                     38,                      1,+6.6892478942871094e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.4999999664723873e-01,                     16,                     38,                      1,+6.6892478942871094e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.5999999642372131e-01,                     17,                     38,                      1,+6.6892471313476562e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.6999999620020390e-01,                     18,                     38,                      1,+6.6892471313476562e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.7999999597668648e-01,                     19,                     38,                      1,+6.6892471313476562e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.8999999575316906e-01,                     20,                     38,                      1,+6.6892471313476562e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+1.9999999552965164e-01,                     21,                     38,                      1,+6.6892463684082031e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+2.0999999530613422e-01,                     22,                     38,                      1,+6.6892463684082031e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+2.1999999508261681e-01,                     23,                     38,                      1,+6.6892463684082031e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+2.2999999485909939e-01,                     24,                     38,                      1,+6.6892463684082031e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+2.3999999463558197e-01,                     25,                     38,                      1,+6.6892456054687500e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+2.4999999441206455e-01,                     26,                     38,                      1,+6.6892456054687500e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+2.5999999418854713e-01,                     27,                     38,                      1,+6.6892456054687500e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+2.6999999396502972e-01,                     28,                     38,                      1,+6.6892456054687500e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
+2.7999999374151230e-01,                     29,                     38,                      1,+6.6892448425292969e+01,+6.8376832473271335e+01,+1.4549148834080761e-02,+0.0000000000000000e+00,-4.5266817323863506e-03,+0.0000000000000000e+00,+0.0000000000000000e+00,                      0,                      0,                      0,                    293,                     -1,+3.5000000000000000e+00,                      0,                      1,                      0,                      0,                    -99,                     99,
